id,name,city,state,country,types
43999,Texas Select Beverage Company,Carrollton,TX,US,Brewery
43547,BJ's Brewery & Tasting Room,Temple,TX,US,"Brewery, Bar, Beer-to-go"
10446,Two Rows Restaurant And Brewery,Addison,TX,US,"Brewery, Eatery"
36489,Shannon Brewing Company,Keller,TX,US,"Brewery, Bar, Beer-to-go"
42836,Woodcreek Brewing Company,Rockwall,TX,US,"Brewery, Bar"
43368,Spindletap Brewery,Houston,TX,US,"Brewery, Bar"
29438,Rogness Brewing Company,Pflugerville,TX,US,"Brewery, Bar"
31850,903 Brewers,Sherman,TX,US,Brewery
3080,Humperdinks Brewpub (Greenville Ave),Dallas,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
39611,Town in City Brewing Co.,Houston,TX,US,"Brewery, Bar, Eatery"
18191,Port Aransas Brewing Company,Port Aransas,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
39953,11 Below Brewing,Houston,TX,US,"Brewery, Bar"
46233,Division Brewing Company,Arlington,TX,US,"Brewery, Bar, Beer-to-go"
44380,Muenster Brewing Company,Muenster,TX,US,"Brewery, Bar, Beer-to-go"
48514,El Paso Brewing Company,El Paso,TX,US,"Brewery, Bar, Eatery"
29440,Guadalupe Brewing Co.,New Braunfels,TX,US,"Brewery, Bar"
47924,Cactus Land Brewing Co.,Adkins,TX,US,"Brewery, Bar, Beer-to-go"
29657,FireWheel Brewing Company,Rowlett,TX,US,Brewery
46205,Cibolo Creek Brewing Company,Boerne,TX,US,"Brewery, Bar, Eatery"
27785,Brigadoon Brewery & Brew School,Plantersville,TX,US,"Brewery, Bar, Homebrew, Beer-to-go"
27400,New Republic Brewing Company,College Station,TX,US,Brewery
39399,The Phoenix on Westheimer,Houston,TX,US,"Brewery, Bar, Eatery"
4897,Jaxon's Restaurant and Brewing Company,El Paso,TX,US,"Brewery, Bar, Eatery"
33300,Busted Sandal Brewing Company,San Antonio,TX,US,"Brewery, Bar, Beer-to-go"
52724,Brotherwell Brewing,Waco,TX,US,Brewery
44036,Friends & Allies Brewing,Austin,TX,US,"Brewery, Bar"
5688,Humperdinks Brewpub (Arlington),Arlington,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
32927,Zero One Ale House,San Angelo,TX,US,"Brewery, Bar, Eatery"
12474,Edelweiss Brewery & Restaurant,Alpine,TX,US,"Brewery, Bar, Eatery"
38139,Strange Land Brewery,West Lake Hills,TX,US,Brewery
48248,Habana Restaurant & Bar,Austin,TX,US,"Brewery, Bar, Eatery"
1115,Two Rows Restaurant & Brewery,Houston,TX,US,"Brewery, Bar, Eatery"
52532,Psi Brewing Company / Garrett's Barbecue,Corpus Christi,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
42042,Oak Highlands Brewery,Dallas,TX,US,"Brewery, Bar"
40952,"O'Neil And Sons Brewing Company, LLC",Port Lavaca,TX,US,Brewery
25622,Twisted X Brewing Company,Dripping Springs,TX,US,"Brewery, Bar"
33465,Texian Brewing Company,Richmond,TX,US,Brewery
46377,Legal Draft Beer Company,Arlington,TX,US,"Brewery, Bar, Beer-to-go"
37372,North by Northwest Restaurant & Brewery - South,Austin,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
2642,North by Northwest Restaurant & Brewery,Austin,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
42751,Texas Leaguer Brewing Compnay,Missouri City,TX,US,"Brewery, Bar, Beer-to-go"
31430,Fort Brewery & Pizza,Fort Worth,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
28520,Peticolas Brewing Company,Dallas,TX,US,Brewery
47003,Treaty Oak Brewing & Distilling,Dripping Springs,TX,US,"Brewery, Bar, Eatery"
47537,St. Elmo Brewing Co.,Austin,TX,US,"Brewery, Bar"
48265,Suds Monkey Brewing Co,Dripping Springs,TX,US,"Brewery, Bar"
53504,Uncultured Ales,Austin,TX,US,Brewery
1293,"Great Grains Brewery, Inc.",Dallas,TX,US,Brewery
37532,Whole Foods - Post Oak,Houston,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
30949,Community Beer Company,Dallas,TX,US,"Brewery, Bar"
37552,Copperhead Brewery,Conroe,TX,US,"Brewery, Bar, Beer-to-go"
47266,Platypus Brewing,Houston,TX,US,"Brewery, Bar, Eatery"
35016,Oasis Texas Brewing Company,Austin,TX,US,"Brewery, Bar"
41043,Bindlestick Brewing Co.,Leander,TX,US,"Brewery, Bar"
48783,160ft Beerworks,Houston,TX,US,"Brewery, Bar"
43696,Whitestone Brewery,Cedar Park,TX,US,"Brewery, Bar, Beer-to-go"
53609,Bandera Ale Project (Bandera Brewery),Bandera,TX,US,"Brewery, Bar, Beer-to-go"
46212,Running Walker Brewery,Richmond,TX,US,Brewery
32171,5 Stones Craft Brewing Co.,New Braunfels,TX,US,"Brewery, Bar"
44382,Orf Brewing,Austin,TX,US,"Brewery, Bar, Beer-to-go"
289,Saint Ides Brewing Company,San Antonio,TX,US,Brewery
2101,Blue Star Brewing Company,San Antonio,TX,US,"Brewery, Bar, Eatery"
35323,Lazy Beach Brewing,Corpus Christi,TX,US,Brewery
10284,Independence Brewing Co.,Austin,TX,US,"Brewery, Bar"
33844,Rabbit Hole Brewing,Justin,TX,US,Brewery
31066,Pinthouse Pizza Craft Brewpub,Austin,TX,US,"Brewery, Bar, Eatery, Beer-to-go"
39455,On Rotation,Dallas,TX,US,"Brewery, Bar, Beer-to-go"
38736,Nine-Band Brewing Company,Allen,TX,US,"Brewery, Bar"
