id,name,brewery_id,style,availability,abv
257459,Cheer Wine,31272,American Wheatwine Ale,Fall,11.0
281080,Weizenbock,46958,German Weizenbock,Rotating,7.8
74563,Sunburst,4858,American Pale Ale (APA),Rotating,5.2
325318,Vanilla Coconut FroYo IPA,51758,American IPA,Rotating,6.1
166760,Corazon,31875,Fruit and Field Beer,Rotating,6.0
321728,New Me,37532,American Imperial IPA,Rotating,8.0
354882,County Road,40964,German Kölsch,Summer,5.0
215717,Weizen,44380,German Hefeweizen,Rotating,5.5
1061,Pilz,383,Bohemian Pilsener,Year-round,4.7
281098,Betty,49120,German Kölsch,Year-round,6.1
249162,Oktoberfest,41762,German Märzen / Oktoberfest,Fall,5.8
157116,Funky Pale Brett Saison,37507,Belgian Saison,Rotating,5.2
329681,Coffee Bat Country,43107,Foreign / Export Stout,Limited (brewed once),5.5
272771,Bomb Scare,32927,American IPA,Year-round,10.4
281753,Mini Boss,46198,American IPA,Rotating,6.8
331084,Belching Beaver / Pinthouse Pizza - T.I.P. DIPA,31066,American Imperial IPA,Limited (brewed once),10.0
339569,Derailed Hefe,35322,German Hefeweizen,Rotating,5.1
83381,Midnight Ale,29509,American Black Ale,Year-round,8.0
99377,Meer Koebel,28255,Belgian IPA,Rotating,9.1
79214,Dancin' Monks,27934,Belgian Dubbel,Year-round,7.2
168804,Saigon Sunset,28255,American Black Ale,Rotating,9.2
107627,Brett Barrel IPA,18823,American IPA,Rotating,7.0
283714,Megamodern,35016,American Imperial IPA,Rotating,9.7
363291,Citrus Peach Tea Sour,35547,American Wild Ale,Limited (brewed once),6.4
107492,Laguna Sunrise,16088,American IPA,Rotating,6.2
312626,Boatman’s,47543,American Barleywine,Rotating,12.0
322839,Raspberry Muse,35547,American Wild Ale,Limited (brewed once),6.2
334729,Bayonet,51902,American Pale Ale (APA),Year-round,4.7
129587,Red EPA,27696,English Pale Ale,Rotating,5.25
66378,Nightlight,24825,Irish Dry Stout,Rotating,4.7
224701,Rye Pils 2.0,27403,German Pilsner,Spring,5.0
294922,Amelie,48264,Belgian Pale Ale,Rotating,5.5
329654,Coolship Spontaneous,37507,American Wild Ale,Limited (brewed once),6.5
334735,Bohica,51902,English Brown Ale,Rotating,3.9
322000,The Fox,51606,Rye Beer,Year-round,4.9
324301,Bart Bier,25667,Vienna Lager,Rotating,5.9
58280,Broken Treaty,18823,English India Pale Ale (IPA),Rotating,6.9
313057,Song of Binding,24018,Belgian Saison,Limited (brewed once),6.9
309810,Pumpkinator 2014,337,American Imperial Stout,Limited (brewed once),12.0
329328,Brown Ale,51972,American Brown Ale,Year-round,5.2
105040,Sleepy Hollow,32171,Pumpkin Beer,Fall,7.7
279057,Deep Runner,41475,German Schwarzbier,Rotating,4.8
244343,Volkaert Summer Redd Ale,16088,American Amber / Red Ale,Summer,4.3
340801,Merriwether,52538,American IPA,Rotating,6.6
374122,Frigid Underworld,50844,American Stout,Rotating,8.9
372784,Big Thicket,50039,American Brown Ale,Rotating,6.1
340366,Fast Learner,37083,American IPA,Rotating,6.6
344077,Zany Zitrus IPA,43547,American IPA,Summer,7.4
347564,Barrel Aged Trojan Horse,31850,American Barleywine,Limited (brewed once),13.5
244386,Moo Caliente,46198,English Sweet / Milk Stout,Rotating,6.0
216254,India Pale Ale,39322,American IPA,Rotating,7.3
101981,Nocturn Chrysalis,24018,American Wild Ale,Rotating,5.9
327527,JalaPolka Pils,13948,Chile Beer,Rotating,4.6
317443,Texas Blood,37947,American IPA,Rotating,7.0
316705,"Double IPA ""Juicy""",46958,American Imperial IPA,Rotating,9.5
285960,Quick Brown Fox,48385,American Brown Ale,Year-round,6.8
262969,Shiner Berliner Weisse,143,Berliner Weisse,Rotating,4.1
242607,Weizenbock,43548,German Weizenbock,Summer,5.7
